clock_counter=14, pc=28, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=15, pc=2c, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=16, pc=30, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=17, pc=34, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=18, pc=38, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=19, pc=3c, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=20, pc=40, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=21, pc=44, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=22, pc=48, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=23, pc=4c, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=24, pc=50, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=25, pc=54, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=26, pc=58, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=1, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=27, pc=5c, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=2, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=28, pc=60, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=3, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=29, pc=64, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=4, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=30, pc=68, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=4, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=31, pc=6c, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=5, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=32, pc=70, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=5, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=33, pc=74, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=5, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=34, pc=78, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=0, r_15=6, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
